Method, Prec, Recall
fdr,0.8,0.190476190476
l1svc,0.555555555556,0.47619047619
boruta,0.8,0.190476190476
jmi,1.0,0.0952380952381
glasso,nan,nan
marginal 0.050000,0.0432098765432,0.333333333333
marginal 0.100000,0.0714285714286,0.047619047619
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.173333333333,0.619047619048
mixomics 0.100000,0.4,0.47619047619
mixomics 0.200000,0.5,0.0952380952381
mixomics 0.300000,0.666666666667,0.0952380952381
mixomics 0.500000,1.0,0.047619047619
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
