Method, Prec, Recall
fdr,0.625,0.454545454545
l1svc,0.5625,0.818181818182
boruta,0.625,0.454545454545
jmi,0.6,0.272727272727
glasso,nan,nan
marginal 0.050000,0.0242424242424,0.210526315789
marginal 0.100000,0.125,0.0526315789474
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.119565217391,0.578947368421
mixomics 0.100000,0.222222222222,0.421052631579
mixomics 0.200000,0.583333333333,0.368421052632
mixomics 0.300000,0.833333333333,0.263157894737
mixomics 0.500000,1.0,0.105263157895
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
