Method, Prec, Recall
fdr,0.4,0.117647058824
l1svc,0.5,0.294117647059
boruta,0.4,0.117647058824
jmi,0.0,0.0
glasso,nan,nan
marginal 0.050000,0.0276679841897,0.388888888889
marginal 0.100000,0.0384615384615,0.111111111111
marginal 0.200000,0.0,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.0796460176991,0.5
mixomics 0.100000,0.136363636364,0.166666666667
mixomics 0.200000,0.75,0.166666666667
mixomics 0.300000,1.0,0.166666666667
mixomics 0.500000,1.0,0.166666666667
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
