Method, Prec, Recall
fdr,0.454545454545,0.0609756097561
l1svc,0.392857142857,0.134146341463
boruta,0.4,0.0487804878049
jmi,0.333333333333,0.0121951219512
glasso,nan,nan
marginal 0.050000,0.0298969072165,0.311827956989
marginal 0.100000,0.0373831775701,0.0860215053763
marginal 0.200000,0.0,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.1075,0.462365591398
mixomics 0.100000,0.159663865546,0.204301075269
mixomics 0.200000,0.291666666667,0.0752688172043
mixomics 0.300000,0.294117647059,0.0537634408602
mixomics 0.500000,0.5,0.0215053763441
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
