Method, Prec, Recall
fdr,0.5,0.121951219512
l1svc,0.5,0.268292682927
boruta,0.473684210526,0.109756097561
jmi,0.571428571429,0.0487804878049
glasso,nan,nan
marginal 0.050000,0.0250737463127,0.2
marginal 0.100000,0.0508474576271,0.0352941176471
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.103773584906,0.517647058824
mixomics 0.100000,0.215277777778,0.364705882353
mixomics 0.200000,0.380952380952,0.188235294118
mixomics 0.300000,0.526315789474,0.117647058824
mixomics 0.500000,1.0,0.0352941176471
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
