Method, Prec, Recall
fdr,0.4,0.117647058824
l1svc,0.846153846154,0.647058823529
boruta,0.4,0.117647058824
jmi,0.5,0.117647058824
glasso,nan,0.0
marginal 0.050000,0.0445859872611,0.35
marginal 0.100000,0.0769230769231,0.05
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.0679611650485,0.35
mixomics 0.100000,0.210526315789,0.2
mixomics 0.200000,0.333333333333,0.1
mixomics 0.300000,0.5,0.1
mixomics 0.500000,1.0,0.1
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
