Method, Prec, Recall
fdr,0.714285714286,0.0684931506849
l1svc,0.478260869565,0.150684931507
boruta,0.666666666667,0.0547945205479
jmi,1.0,0.041095890411
glasso,nan,nan
marginal 0.050000,0.029106029106,0.417910447761
marginal 0.100000,0.0487804878049,0.149253731343
marginal 0.200000,0.0,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.100323624595,0.462686567164
mixomics 0.100000,0.223529411765,0.283582089552
mixomics 0.200000,0.257142857143,0.134328358209
mixomics 0.300000,0.421052631579,0.119402985075
mixomics 0.500000,0.8,0.0597014925373
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
