Method, Prec, Recall
fdr,0.55,0.139240506329
l1svc,0.627906976744,0.341772151899
boruta,0.5,0.126582278481
jmi,1.0,0.0253164556962
glasso,nan,nan
marginal 0.050000,0.018018018018,0.148148148148
marginal 0.100000,0.0169491525424,0.0123456790123
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.0823863636364,0.358024691358
mixomics 0.100000,0.1625,0.16049382716
mixomics 0.200000,0.304347826087,0.0864197530864
mixomics 0.300000,0.333333333333,0.037037037037
mixomics 0.500000,1.0,0.0123456790123
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
