Method, Prec, Recall
fdr,0.764705882353,0.178082191781
l1svc,0.53488372093,0.315068493151
boruta,0.764705882353,0.178082191781
jmi,0.75,0.0821917808219
glasso,nan,nan
marginal 0.050000,0.0315638450502,0.354838709677
marginal 0.100000,0.0428571428571,0.0483870967742
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.135021097046,0.516129032258
mixomics 0.100000,0.226666666667,0.274193548387
mixomics 0.200000,0.310344827586,0.145161290323
mixomics 0.300000,0.4375,0.112903225806
mixomics 0.500000,0.666666666667,0.0322580645161
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
