Method, Prec, Recall
fdr,0.75,0.142857142857
l1svc,0.714285714286,0.47619047619
boruta,1.0,0.0952380952381
jmi,1.0,0.0952380952381
glasso,nan,nan
marginal 0.050000,0.0292887029289,0.4375
marginal 0.100000,0.0178571428571,0.0625
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.0793650793651,0.3125
mixomics 0.100000,0.210526315789,0.25
mixomics 0.200000,0.333333333333,0.125
mixomics 0.300000,0.5,0.125
mixomics 0.500000,1.0,0.125
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
