Method, Prec, Recall
fdr,0.5,0.0909090909091
l1svc,0.8,0.363636363636
boruta,0.75,0.272727272727
jmi,0.5,0.181818181818
glasso,nan,nan
marginal 0.050000,0.034188034188,0.421052631579
marginal 0.100000,0.0454545454545,0.105263157895
marginal 0.200000,nan,0.0
marginal 0.300000,nan,0.0
marginal 0.500000,nan,0.0
marginal 0.700000,nan,0.0
marginal 0.800000,nan,0.0
mixomics 0.050000,0.166666666667,0.315789473684
mixomics 0.100000,0.285714285714,0.105263157895
mixomics 0.200000,0.333333333333,0.0526315789474
mixomics 0.300000,0.333333333333,0.0526315789474
mixomics 0.500000,1.0,0.0526315789474
mixomics 0.700000,nan,0.0
mixomics 0.800000,nan,0.0
